"","SRR1027171","SRR1027172","SRR1027173","SRR1027174","SRR1027175","SRR1027176","SRR1027177","SRR1027178","SRR1027179","SRR1027180","SRR1027181","SRR1027182","SRR1027183","SRR1027184","SRR1027185","SRR1027186","SRR1027187","SRR1027188","SRR1027189","SRR1027190"
"ENSG00000223972.4",0,0,0,0,1,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0
"ENSG00000227232.4",16,5,16,26,26,20,35,52,38,25,39,19,10,12,10,9,14,161,88,110
"ENSG00000243485.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020.2",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.1",1,0,2,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.4",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009.2",2,0,0,1,1,1,2,1,4,2,2,1,1,0,0,0,0,4,0,5
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",8,1,3,1,1,3,4,4,6,7,8,3,0,1,1,2,2,10,2,0
"ENSG00000237683.5",20,4,4,3,4,2,9,5,2,14,4,7,9,3,8,7,8,183,126,42
"ENSG00000268903.1",3,2,1,2,1,1,2,0,3,1,0,0,1,0,0,0,0,5,3,4
"ENSG00000269981.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239906.1",2,0,0,1,0,2,0,0,1,0,2,1,0,1,1,0,0,4,0,1
"ENSG00000241860.2",14,4,3,4,4,13,11,11,10,14,6,0,13,25,14,8,9,35,30,20
"ENSG00000222623.1",1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0
"ENSG00000241599.1",7,0,1,0,4,0,0,2,4,6,2,0,3,5,5,1,0,0,0,0
